source_id,original_ext_source_id,angular_distance,number_of_neighbours,xm_flag
139860666488305664,13375,0.0021355546,1,8
386653851004022144,473,0.13805914,1,72
1362451076122760320,86414,0.003647587,1,8
1022456104850892928,120005,0.070297584,1,72
1022456139210632064,45343,0.06234442,1,72
1575287046603605888,59774,0.005324063,1,8
1823067317695766784,98337,0.00808102,1,8
65271996684817280,17499,0.0075601973,1,8
892348694913501952,36850,0.8372706,1,16
1314438839310796800,82003,0.001834194,1,8
1459043241342371328,67665,0.007435912,1,8
424422281584852352,4012,0.00048416742,1,8
1041808368494264576,41704,0.006090742,1,8
522863309964987520,4872,0.0013694282,1,8
1642641410934267008,79755,0.0011941448,1,8
622052899598187392,49583,0.0075206812,1,8
168726523212358272,18246,0.026458673,1,8
946632924007399936,34603,0.007148779,1,8
201261278441958656,23767,0.023683364,1,8
231113736385994624,17666,0.018518006,1,72
1505343882144388864,69038,0.010227878,1,8
196944217825405184,28404,0.0031988174,1,8
438829629114680704,12777,0.0055530216,1,8
1129149723913123456,57544,0.015084269,1,72
1460229442589223424,64394,0.008667995,1,8
1534011998572555776,61317,0.0070980308,1,8
1117104986348319232,44390,0.0066099036,1,8
1471777269618346240,66459,0.0015257113,1,8
1339952869195300608,84380,0.0037055437,1,8
1517698716348324992,63125,0.022353413,1,8
1352588216303348608,81833,0.0061446303,1,8
1049765396704695936,48319,0.008409774,1,8
1812371096773414144,101810,0.004960895,1,8
1254695603704323712,70529,0.0001457349,1,8
1279798794197267072,72105,0.009150489,1,8
762815470562110464,54035,0.10223267,1,72
385334230892516480,1475,0.029472023,1,72
1561883759343666304,66738,0.003313761,1,8
1214160733157163008,75187,0.002888627,1,8
66526127137440128,17847,0.019823568,1,8
386655019234959872,428,0.0014880238,1,8
1614731957531452544,75458,0.007948959,1,8
1006142960069707648,29919,0.0020668062,1,8
641662895638787584,47908,0.0112826545,1,8
880495478530513920,38541,0.00972739,1,72
1398822783330261248,78574,0.0014003167,1,8
454491381981202944,13268,0.008345241,1,8
1621259036510505344,73199,0.05727058,1,8
1057879895596316416,56936,0.014582403,1,72
1229089524081628416,70865,0.0016824125,1,8
1201067439457715072,80170,0.0071534454,1,8
1254694882149817728,70536,0.0033600812,1,8
1872046574983497216,104217,0.15842918,1,72
786420645182229504,57399,0.008202587,1,8
823228721067307392,49189,0.00073597877,1,8
470826482637310080,21088,0.040717363,1,72
1661568850770761600,68184,0.00064864213,1,8
1243381938292692096,67459,0.0044743363,1,8
660136821288588416,42911,0.009409694,1,8
35845938787261952,13654,0.42688197,1,16
672091364541849344,38082,0.0076705036,1,8
644306911864817152,46750,0.021146096,1,8
160886283751041408,23015,0.013415926,1,8
1278391075717325312,74666,0.0014703276,1,8
779106556394253824,54539,0.0071767666,1,8
1415230383034813824,85670,0.023404354,1,8
266846631637524864,23518,0.01926064,1,72
1187851653287128576,72944,0.07418557,1,72
643819484617141504,48455,0.0027918227,1,8
939072613334579328,33226,0.004372994,1,8
399402894487590144,7607,0.00791319,1,8
1428427236986209024,80459,0.005041723,1,8
1563590579347125632,65378,0.014713058,1,8
1057318835428596096,55360,0.013990921,1,72
1143321672882274560,29277,0.0017522089,1,8
48026706558487040,20889,0.00963506,1,8
1833199729671740800,98792,0.0015362807,1,8
1470462322431834880,66906,0.004118761,1,8
222749343414443648,16209,0.004952099,1,8
922225002820369152,38956,0.0009827216,1,8
1381119031215320576,80704,0.029476019,1,8
778947814402602752,54211,0.04740126,1,72
436648129327098496,14632,0.004893461,1,8
1144716265942885888,47193,0.0037742793,1,8
1193030490492925824,78072,0.006556769,1,8
772430527947893632,57050,0.0038230675,1,8
523433578540463488,5247,0.00062813994,1,8
1669449084967071872,71898,0.05196071,1,72
1642642957122493824,79762,0.0053853034,1,8
1790202365373760256,105502,0.0074326717,1,8
1297565458994346240,80816,0.01036532,1,8
939307084189685248,33018,0.005861239,1,8
205499655242974464,23416,0.01570678,1,8
1014058103758571520,44127,0.02872341,1,8
272855565763652480,21553,0.0010500392,1,8
1784473016438653056,106106,0.003172192,1,8
1222646935698492160,76267,0.047960453,1,8
326173044957518080,10644,0.006047546,1,8
798068905726303232,47080,0.037513975,1,72
235423517026072960,15234,0.00493387,1,8
823773494718931968,49908,0.0048467387,1,72
1061909811871141504,56211,0.007243982,1,8
533621859441169920,4856,0.0023746884,1,8
145421309108301184,20917,0.0024875335,1,8
1220404653534258816,78159,0.007863987,1,8
873035017257455104,36046,0.0038598569,1,8
746572522723948672,49066,0.0041381093,1,8
1872046609345556480,104214,0.12719344,1,72
1625209684868707328,80331,0.01627111,1,8
1713631344821548544,70692,0.018012632,1,72
588551501854159744,47508,0.017988928,1,8
614543647497149056,47513,0.0035130908,1,8
1244644727396803584,67090,0.0028766068,1,8
1051547052218220160,48714,0.0011279435,1,8
1637645127018395776,86162,0.0034939318,1,8
1197588859547184640,77450,0.0110866735,1,8
1237090738916392704,72659,0.47370374,1,72
96331172942614528,7981,0.004029675,1,8
66714384142368256,17702,1.2112398,1,16
876370076542359936,39157,0.0012082959,1,8
699870869414974336,45058,0.014105266,1,8
757565233820538752,55219,0.002089773,1,8
1349047857580994560,86776,0.0014961264,1,8
1431783457574556672,82257,0.004135494,1,8
512167948043650816,8362,0.00279659,1,8
1876331990259358976,112440,0.011466124,1,8
114207651462714880,12781,0.0047897603,1,8
219057458247921536,18915,0.004557583,1,8
285049252792128512,23522,0.004173242,1,8
491805851686912000,16404,0.0027915798,1,8
583588100209595776,43813,0.013680879,1,8
872128538640246144,36962,0.0077883154,1,8
1284537517514584704,71053,0.0070510413,1,8
418001477279154304,2920,0.0076297414,1,8
418551920284673408,3179,0.033755917,1,8
1421593566062037120,87585,0.006967801,1,8
510204838759030144,6686,0.010726951,1,8
1064092789129355136,46733,0.0038273192,1,8
1148730170578687744,36547,0.007325226,1,8
2965792913525710976,27654,0.012001574,1,8
3704342295607157120,63090,0.0033027125,1,8
2832827391830929920,112120,0.0035619126,1,8
2067518817314952576,100453,0.0728894,1,16
2154880616774131840,91768,0.06706487,1,72
2940856402123426176,29295,0.10519264,1,72
2939555954755196160,31592,0.0049365903,1,8
3211461469444773376,23311,0.0024859116,1,8
3287731945364911232,22549,0.01124492,1,8
2136270970154631168,95853,0.006625261,1,8
2195886971653527168,103096,0.0016011773,1,8
2211820991085587584,112724,0.008161047,1,8
2272185759996420992,106032,0.20841298,1,16
2315550051916217856,2210,0.012067184,1,8
3339921875389105152,26335,0.00035944977,1,8
2106630885454013184,92862,0.009587688,1,8
2185710338703934976,98906,0.009937085,1,8
2011251030583236352,116085,0.0022494749,1,8
3478160727866058368,56528,0.0017940373,1,8
2921635736292220800,33977,0.019822592,1,8
2396530698208685312,113576,0.002555827,1,8
2386316510063903616,114341,0.012675874,1,8
2976850598890749824,23512,0.0011508166,1,8
2989528414633822464,24169,0.0062657674,1,8
3566643651231641600,54651,0.0014686207,1,8
2671038928727970944,106278,0.0026793368,1,8
3655377057091634304,72220,0.026049703,1,8
3735000631158990976,62452,0.0014067496,1,8
2059372363884259072,98110,0.0042103333,1,8
2900546759663847168,26634,0.015446674,1,8
3478127463341507072,56452,0.018214563,1,72
3490234568129160704,59316,0.010857233,1,8
2391835199442300544,115669,0.007323579,1,8
3507879565090229888,64924,0.010499641,1,8
3207534529304666240,24674,0.028197022,1,8
3216486443742786048,26549,0.048204184,1,16
3269362645115584640,15457,0.002460191,1,8
2515037264041041536,10279,0.0013232048,1,8
2519329585637068160,9560,0.002149977,1,8
3553136288324444544,53740,0.0071067,1,8
3519785523672576384,60559,0.0089858435,1,72
2996171698248699904,27288,0.004346567,1,8
3561350430457837056,55282,0.01816944,1,8
3220756843825383936,25930,0.0620545,1,16
2560771312759450496,8051,0.0011407291,1,8
3296329370379163520,22957,0.006320238,1,8
2022881668925464320,95771,0.0035766952,1,8
2246206567973292160,101180,0.0022407835,1,8
3487062064765702272,58345,0.0047431733,1,72
3557567320183657472,52943,0.0032463875,1,8
2627117287488522240,109388,0.006330627,1,8
2552928187080872832,3829,0.006327549,1,8
2793343001564046976,2219,0.009216071,1,8
2009481748875806976,114622,0.0050941776,1,8
3409711211681795584,21932,0.0052316324,1,8
2199493438511811712,109492,0.008327948,1,8
2154880616774131712,91772,0.09728249,1,72
2911981886751531648,29052,0.0023925274,1,8
2392584791494639744,115438,0.005585096,1,8
2995725777563537792,28103,0.0021388112,1,8
2429978803998630400,1562,0.0022066657,1,8
2610370969483589888,112961,0.014789644,1,8
2680356911816018048,109074,0.009142671,1,8
2739689239311660672,117473,0.008082805,1,72
3741297293732404352,67155,0.0056582037,1,72
2804918316384272128,3693,0.011429688,1,8
3089711447388931584,40501,0.0017791535,1,8
3098404220680931968,40526,0.010600977,1,8
2824770686019003904,116132,0.27801415,1,72
2251191616254289152,97433,0.009183891,1,8
2365464065885835904,1170,0.00943182,1,8
3011968416163350272,27366,0.046567805,1,16
2630576144911349248,114939,0.0141867865,1,8
3657653114880309248,68469,0.004183582,1,8
3366754155291545344,34088,0.011498495,1,8
2802397960855105920,3093,0.0019213224,1,8
1971163631220899968,106481,0.0054795584,1,8
2261614264931057664,96100,0.0027586466,1,8
2964000159821218432,27072,0.011326992,1,8
2358524597030794112,5643,0.0063424604,1,8
2452378776434477184,8102,0.0075398358,1,8
3019816764523863552,29651,0.014031494,1,8
2658974606111711488,114971,0.009481372,1,8
3352485999058854912,32362,0.021960452,1,8
3384529341302871296,32246,0.0059960783,1,8
2851617392714906880,118131,0.016217444,1,8
2043823929421342848,93194,0.0047795316,1,8
2093931938472201600,92791,0.039576128,1,8
3501215734352781440,61359,0.0022201566,1,8
3359074685047632640,31635,0.003128945,1,8
1934263333784036736,112460,0.003212777,1,8
2952868119987647744,33160,0.004883169,1,8
2644439955745152512,116317,0.0038939707,1,8
